full_word,abbreviation
Automatic Number Identification,ANI
Automatic Route Selection,ARS
Automation,AUTO
Auxiliary,AUX
Avail,AVAIL
Availability,AVAIL
Available,AVAIL
Avenue,AVE
Average,AVG
Average Revenue Per Message,ARPM
Await,AWT
Award,AWARD
Back,BK
Back Order,BKORD
Backorder,BKORD
Backout,BKOUT
Backup,BKUP
Backward,BKWRD
Bad,BAD
Balance,BAL
Balancing,BAL
Band,BAND
Bandwidth,BNDWDTH
Bank,BANK
Bargain,BARG
Bargaining,BARG
Base,BASE
Base Radio,BR
Baseline,BSLN
Basement,BSMT
Basic,BSC
Basis,BSS
Basket,BASKET
Batch,BTCH
Battery,BTTRY
Bay,BAY
Begin,BEGIN
Bell,BELL
Bell Operating Company,BOC
Beneficiary,BNFCY
Benefit,BNFT
Beside,BESIDE
Best,BEST
Between,BTWN
Beyond,BYND
Bid,BID
Bill,BILL
Bill at Account,BAC
Bill at CAN,BAC
Bill of Lading,BOL
Bill of Material,BOM
Bill Period,BP
Billable,BILLB
Billed,BILLD
Billed Telephone Number,BTN
Billing,BILLG
Billing Account,BACCT
Billing Adjustment Memorandum,BAM
Billing Authorization,BAU
Billing Period,BP
Billing Telephone Number,BTN
Billing Transaction Group,BTG
Bin,BIN
Binary,BNRY
Birth,BIRTH
Birthdate,BIRTH
Birthday,BDAY
Bit,BIT
Biweekly,BWKLY
Blackberry,BLKBRY
Blank,BLNK
Block,BLK
Blocked,BLK
Blocking,BLK
Board,BOARD
Body,BODY
Bond,BOND
Bonded,BOND
Bonus,BONUS
Book,BOOK
Boost,BST
Booth,BOOTH
Border,BDR
Borrow,BORR
Both,BOTH
Bottom,BOT
Boulevard,BLVD
Bounce,BNC
Boundary,BNDRY
Box,BX
Branch,BRNCH
Breach,BRCH
Break,BRK
Breakdown,BRKDN
Bridge,BRDG
Bridged,BRDG
Bridging,BRDG
British Columbia,BC
Broad,BRd
broadwalk,brdwlk
Broadband,BB
Broadcast,BRDCST
Brought,BRGHT
Browse,BRWS
Bucket,BCKT
Budget,BDGT
Budgeted,BDGTD
Buffer,BFR
Build,BLD
Building,BLDG
Bulk,BULK
Bulletin,BULL
Bump,BUMP
Bunch,BNCH
Bureau,BUR
Bury,BURY
Business,BUS
Business Intelligence,BI
Business Value Bundle,BVB
busrgusoln,brs
Busy,BUSY
Button,BUTTN
Buy,BUY
Bye,BYE
Bypass,BYP
Byte,BYTE
Cable,CBL
Calculate,CALC
Calculated,CALC
Calculation,CALC
Calendar,CLNDR
Call,CALL
Call Detail Record,CDR
Call Detail Recording,CDR
Called,CALL
Caller,CALLR
Calling,CALL
Calling Card,CC
Calls,CALL
Camera,CAMR
Campaign,CMPGN
Canada,CA
Canadian,CDN
Canadian Dollar,CAD
Cancel,CANC
Cancellation,CANC
Cancelled,CANC
Candidate,CAND
Canvass,CANV
Capability,CPBLTY
Capable,CPBL
Capacitance,CPCTNC
Capacity,CPCTY
Capital,CAP
Capitalize,CAPTLZ
Capitalized,CAPTLZ
Capsule,CPSL
Capture,CAPTUR
Card,CARD
Career,CAREER
Carriage,CRG
Carried,CARRY
Carrier,CARR
Carry,CARRY
Cascade,CASCADE
Case,CS
Cash,CASH
Catalog,CATLG
Catalogue,CATLG
categories,cats
Categorize,CATGZ
category,cat
catgy,cat
Cathode,CATH
Cause,CAUSE
CBU Customer Id,CBU_CID
Ceiling,CLG
Cellular,CELL
Census,CENSUS
Center,CTR
Centimeter,CM
Centimetre,CM
Central,CEN
Central Office,CO
Centralized,CEN
Centre,CTR
Centrex,CENTREX
Certificate,CERT
Certify,CERT
Chain,CH
Challenge,CHALNG
Change,CHNG
Channel,CHNL
Chapter,CHPTR
Character,CHAR
Characteristic,CHARSTC
Characteristics,CHARSTC
Charge,CHRG
Chargeable,CHRGBL
Charges,CHRG
Charging,CHRG
Charity,CHRTY
Chart,CHART
Chassis,CHAS
Check,CHK
Checklist,CHKLIST
Checkpoint,CHKPT
Cheque,CHQ
Cheques,CHQ
Child,CHILD
Children,CHILD
Choice,CHOICE
Christmas,XMAS
CIC,CIC
Circle,CIR
Circuit,CKT
Circuit Location Identifier,CLLI
Circular,CIRC
Circulate,CIRCLT
City,CITY
Civic,CIVIC
Claim,CLAIM
Claimed,CLAIM
Clarity,CLAR
Class,CLASS
classif,clsn
classification,clsn
Classify,CLSFY
classn,clsn
Classroom,CLASSRM
Clause,CLAUSE
clckstrm,cs
Clean,CLN
Cleanup,CLNUP
Clear,CLR
Clearance,CLEAR
Cleared,CLR
Clerical,CLER
Clerk,CLRK
clickstream,cs
Client,CLNT
clickthrough,ctr
Clock,CLOCK
Close,CLOS
Closed,CLOSD
Closing,CLOSG
cloudcheck,CC
Cluster,CLUSTR
cmitmt,cmit
cmpnt,cmp
Code,CD
cohort,coh
Coil,COIL
Coin,COIN
Coinbox,COINBX
Cold,COLD
Collate,COLLT
Collect,COLL
Collecting,COLLG
Collection,COLL
Collector,COLLR
College,COLLEGE
Color,COLR
Colour,COLR
Column,COL
Combine,COMB
Command,CMD
Comment,CMT
Commerce,CMRC
Commercial,CMRCL
Commission,COMMSN
Commit,CMIT
commitment,cmit
Committee,CMITEE
Common,COM
Common Language Circuit Id,CLCI
Common Language Circuit Identification,CLCI
Common Language Location Id,CLLI
Common Language Location Identification,CLLI
Communicate,COMM
Communication,COMM
Communications,COMM
Community,COM
Commute,COMMUTE
Commuted,COMMUTE
Compact,CMPCT
Company,CO
Compare,CMPR
Compendium,CMPNDM
Compensable,COMPEN
Compensate,COMPEN
Compensation,COMPEN
Compete,COMPET
Competence,COMPETNC
Competition,COMPETN
Competitive,COMPETV
Competitive Interexchange Carrier,CIC
Competitive Local Exchange Carrier,CLEC
Competitor,COMPETR
Compile,CMPL
Complaint,COMPLNT
Complement,COMPLMT
Complete,COMPL
Completed,COMPL
Completing,COMPL
Completion,COMPL
Complex,CMPLX
Complexity,COMPXTY
Compliance,CMPLNC
component,cmp
Compose,COMPOS
Composite,CMPST
Compound,CMPND
Comprehend,CMPRHND
Comprehensive,CMPRHNSV
Compress,CMPRS
Compressed,CMPRS
Comptrol,COMPT
Comptroller,COMPTLR
Computation,CMPUTN
Compute,CMPUT
Computer,CMPTR
Computing,CMPUT
Concatenate,CONCAT
Concentrate,CONCEN
Concept,CONCPT
Concession,CONCESN
Conclusion,CONCL
Concur,CONCUR
Concurrent,CONCURR
Condense,CONDNS
Condition,COND
Conduct,CONDCT
Conductor,CONDCTR
Conduit,CONDUIT
Conference,CONFER
Confident,CONFID
Confidential,CONFID
Configuration,CONFIG
Configure,CONFIG
Confirm,CONFRM
Confirmation,CONFRM
Confirmed,CONFRM
Conflict,CONFL
Connect,CONN
Connected,CONN
Connecting,CONN
Connection,CONN
Connectivity,CONN
Consecutive,CONSEC
Consent,CONSENT
Consenter,CONSENTR
Consistent,CONSIS
Console,CONSOLE
Consolidate,CONSLDT
Consolidated,CONSLDT
Constant,CONSTANT
Constrain,CONSTRN
Constraint,CONSTRNT
Construct,CONSTRUCT
Construction,CONSTRUCTN
Consultant,CONSULT
Consumer,CNSMR
Contact,CNTCT
Contain,CONTAIN
Content,CONTNT
Context,CONTXT
Contiguous,CNTG
Contingent,CONTNGT
Continue,CONT
Continued,CONTD
Continuous,CONT
Contract,CNTRCT
Contractor,CNTRCTR
Contribute,CONTRIB
Contribution,CONTRIB
Control,CTRL
Controller,CTRLR
Conversation,CONVRSTN
Converse,CONVRS
Conversion,CONVRSN
Convert,CONVRT
Converted,CONVRTD
Coordinate,COORD
Coordination,COORD
Coordinator,COORD
Copper,COPPER
Copy,COPY
Copylib,COPYLIB
Cord,CORD
Core,CORE
Corporate,CORP
Corporation,CORP
corpsoln,corp
Correct,CORR
Corrected,CORR
Correction,CORR
Correlate,CORREL
Correlation,CORRELN
Correspond,corr
correspondence,corr
Corresponding,corr
Corrupt,CORRUPT
Cost,COST
Costs,COST
Count,CNT
Counter,CNT
Counting,CNT
Country,CNTRY
County,CNTY
Coupon,COUP
Course,COURSE
Cover,CVR
Coverage,CVRG
Covered,CVRD
Craft,CRFT
Craftsman,CRFTMN
Create,CREATE
Created,CREATE
Creation,CREATE
Credit,CR
Credit Card Mediation,CCM
Credit Profile,CPROFL
Credited,CRED
Criteria,CRIT
Criterion,CRIT
Critic,CRITIC
Critical,CRITIC
Cross,CROSS
Cross Border,XBDR
Cross Code,XCD
Cross Coding,XCD
Cross Connect,XCONN
Cross Reference,XREF
Crossbar,XBAR
Crossing,XING
CTI,CTI
Cue,CUE
Cumulate,CUM
Cumulative,CUM
Currency,CURRCY
Current,CURR
Current Year,CYR
Curve,CRV
Custodian,CUSTOD
Custom,CUSTOM
Customer,CUST
Customer Access Line,CAL
Customer Access Lines,CALS
Customer Account Number,CAN
Customer Premise Equipment,CPE
Customer Provided Equipment,CPE
Customer Service Rep,CSR
Customer Service Representative,CSR
Cut,CUT
Cutoff,CUTOFF
Cutover,CUTOVR
Cycle,CYCL
Daily,DLY
Damage,DAMAG
Damp,DAMP
Dasd,DASD
Dash,DASH
Data,DATA
Data Acquisition,DAQ
Data Architecture,DAT_ARCH
Data Terminal Equipment,DTE
Database,DB
Database Marketing,DBM
Dataflow,DATAFLOW
Datalink,DATALINK
Datamanager,DATAMGR
Datapac,DATAPAC
Datapath,DATAPATH
Dataphone,DATAPH
Dataroute,DATARTE
Dataset,DATASET
Datastore,DS
Date,DT
Date of Birth,DOB
Date Time,DTM
Datetime,DTM
Daughter,DAUGH
Day,DAY
Daylight,DYLGHT
Daylight Savings Time,DST
Daytime,DYTM
De facto,DEFACTO
Deactivation,DEACT
Dead,DEAD
Deal,DEAL
Dealer,DLR
Death,DEATH
Debit,DR
Debt,DEBT
Debug,DEBUG
Decade,DECAD
Deceased,DECEAS
December,DEC
Decibel,DECIBL
Decide,DECID
Decimal,DEC
Decision,DECSN
Deck,DECK
Declare,DECLR
Decode,DECODE
Decrease,DECR
Decrement,DECREM
Dedicate,DEDIC
Deduct,DDUCT
Deductable,DDUCT
Deducted,DDUCT
Deduction,DDUCT
Defacto,DEFACTO
Default,DFLT
Defect,DEFECT
Defective,DEFECTV
Defense,DFNS
Defer,DEFER
Deferment,DEFER
Deferrable,DEFER
Deferred,DEFER
Define,DEF
Defined,DEFD
Definition,DEFN
Delay,DLAY
Delegate,DELGT
Delete,DEL
Deletion,DEL
Delimit,DELIM
Delimiter,DELIM
Delinquent,DELINQ
Deliver,DELIV
Deliverable,DELIV
Delivering,DELIV
Delivery,DELIV
Demand,DMND
Demographic,DMGRPHC
Demonstration,DEMO
Denominator,DENOM
Denormalize,DNORM
Denormalized,DNORM
Dental,DNTL
Deny,DENY
Depart,DEPART
Department,DEPT
Departure,DEPART
Depend,DPND
Dependant,DPNDT
Dependencies,DPNDC
Dependency,DPNDCY
Dependent,DPNDT
Deploy,DPLY
Deployment,DPLY
Deposit,DPST
Deposited,DPSTD
Depot,DEPOT
Depreciate,DEPR
Depreciation,DEPRN
Depth,DPTH
Derive,DERIV
Derived,DERIV
Deriving,DERIV
Describe,DESC
description,desc
Descriptor,DESC
Design,DSGN
Designate,DSGNT
Designation,DSGNTN
Designer,DSGNR
Destination,DEST
Destroy,DSTRY
Detail,DTL
Detailed,DTL
details,dtl
Detect,DET
Detector,DET
Detection,DET
Determine,DTRMN
Develop,DVLP
Development,DVLPMT
Deviate,DVIAT
Deviation,DVIAT
Device,DVC
Diagnose,DIAGNOS
Detokenized,detokn
Diagnosis,DIAGNOS
Diagnostic,DIAGNOS
Diagram,DIAG
Dial,DIAL
Dialed,DIAL
Dialed Number Identification Service,DNIS
Dialing,DIAL
Dialling,DIAL
Diameter,DIAM
Diary,DIARY
Dictionary,DICT
Die,DIE
Differ,DIFF
Difference,DIFF
Different,DIFF
Differential,DIFF
Differentiated Services Code Point,DSCP
Difficult,DFFCLT
Difficulty,DFFCLTY
Digit,DGT
Digital,DGTL
Digital Switched Network,DSN
Digits,DGT
Dimension,DIM
Direct,DIR
Direct Connect,DIRC
Direct Distance Dialed,DDD
Direct Distance Dialing,DDD
Direct Distance Dialled,DDD
Direct Mail,DM
Direction,DIR
Directional,DIR
Director,DIR
Directory,DIR
Directory Assistance,DA
Directory Assistance Charge,DAC
Directory Assistance Charges,DAC
Dirty,DIRTY
Disability,DSBLTY
Disable,DSBL
Disassociate,DASSOC
Disaster,DISAST
Disburse,DISB
Disc,DISK
Disclosure,DSCLOSR
Disconnect,DISCONN
Discontinue,DISCONT
Discount,DISC
Discounted,DISC
Discredit,DISCRED
Discrepancy,DISCREP
Discrete,DISCRET
Discriminator,DISCRIM
Discuss,DISCUSS
Discussion,DISCUSN
Dishonour,DISHON
Disk,DISK
Dismiss,DISMISS
dispatch,dsp
Display,DSPLY
Disposable,DISP
Dispose,DISP
Disposition,DISP
Disregard,DISREG
Distance,DIST
Distant,DIST
Distinct,DSTNCT
Distort,DISTORT
Distribute,DISTRIB
Distribution,DISTRIB
Distributor,DISTRIB
District,DIST
Diverse,DIVERSE
Diversion,DVRSN
Diversity,DVRSTY
Divert,DIVERT
Divide,DIV
Dividend,DIVND
Division,DIV
Do In Conjunction With,DICW
Do Not Contact,DNC
Document,DOC
Dollar,DOL
Domain,DOMAIN
Domestic,DOMSTC
Dominion,DOMIN
Done,DONE
Double,DBL
Down,DN
Downgrade,dwg
Down Payment,DNPYMT
Download,DNLOAD
Downpayment,DNPYMT
Draft,DRFT
Draw,DRW
Drawing,DRWG
Drive,DR
Driver,DRVR
Drivers,DRVR
Drop,DROP
dsptch,dsp
Dst,DST
Dual,DUAL
Duct,DUCT
Due,DUE
Dummy,DUMMY
Dump,DMP
Dun and Bradstreet,DUNS
Duplicate,DUP
Duration,DURTN
During,DUR
Duty,DUTY
Dynamic,DYN
Earliest,ERLST
Early,ERLY
Earn,EARN
Earned,EARND
Earning,EARNG
Earnings,EARNG
East,E
Economic,ECON
Economy,ECON
Edge,EDG
Edit,EDIT
Edited,EDIT
Editing,EDIT
Edition,EDITN
Editor,EDIT
Educate,EDUC
Education,EDUC
EDW,EDW
Effect,EFF
Effective,EFF
Efficient,EFFCNT
Elapse,ELAPS
Elapsed,ELAPS
Elective,ELECTV
Electric,ELEC
Electrical,ELEC
Electro,ELEC
Electronic,ELEC
Electronic Mail,EMAIL
Element,ELEM
Elementary,ELEM
Eligibility,ELIG
Eligible,ELIG
Eliminate,ELIM
Email,EMAIL
Embargo,EMBARG
Emergency,EMRGNCY
Employ,EMPLOY
Employable,EMPLBL
Employed,EMPLD
Employee,EMPL
Employer,EMPLR
Employment,EMPLMT
Enable,ENBL
Encapsulate,ENCAP
Enclose,ENCL
Enclosure,ENCL
Encode,ENCODE
Encounter,ENCNTR
Encountered,ENCNTR
End,END
End Of Day,EOD
Ending,END
Endorse,ENDOR
Energy,ENRGY
Engagement,Eng
Engine,ENGINE
Engineer,ENG
Engineer Ready Date,ERD
Engineered,ENG
Engineering,ENG
Engineering Ready Date,ERD
English,EN
Enhance,ENHNC
Enhanced,ENHNC
Enquire,INQR
Enquiry,INQRY
Enrichment,ENRCH
Enroll,ENROL
Enrollment,ENROL
Ensure,ENSUR
Enter,ENTR
Enterprise,ENTRPRS
Enthusiasm,ENTHUS
Entitle,ENTITL
Entitlement,ENTITL
Entity,ENTITY
Entrance,ENTRNC
Entry,ENTRY
Enumeration,ENUM
Environment,ENVIR
Envoy,ENVOY
Equal,EQ
Equate,EQUAT
Equation,EQUAT
Equip,EQUIP
Equipment,EQUIP
Equipped,EQUIP
Equity,EQTY
Equivalency,EQUIV
Equivalent,EQUIV
Erase,ERASE
Err,ERR
Error,ERR
Error Billing,ERRB
Escalation,ESCALN
Essential,ESSENTL
Establish,ESTAB
Established,ESTAB
Establishment,ESTAB
Estate,ESTAT
Estimate,EST
Estimated,EST
Evaluate,EVAL
evaluation,eval
Even,EVEN
event,evt
events,evts
evnt,evt
Evolve,EVOLV
Exam,EXAM
Examination,EXAM
Examine,EXAM
Exceed,EXCEED
Except,EXCPT
Exception,EXCPT
Excess,EXCESS
Excessive,EXCESSV
Exchange,EXCH
Exclude,EXCL
Excluded,EXCL
Exclusion,EXCL
Exclusive,EXCL
Execute,EXEC
Executive,EXEC
Executive Vice President,EVP
Exempt,EXMPT
Exemption,EXMPT
Exercise,EXER
Exist,EXIST
Existence,EXIST
Existing,EXIST
Exit,EXIT
Expand,EXPND
Expanded,EXPND
Expander,EXPND
Expansion,EXPNSN
Expect,EXPCT
Expected,EXPCT
Expend,EXPEND
Expense,EXP
Expensive,EXPNSV
Experience,EXPER
Expert,EXPERT
Expiration,EXPIR
Expire,EXPIR
Expiry,EXPIR
Explain,EXPLN
Explanation,EXPLN
Explode,EXPLD
Exploration,EXPLR
Explore,EXPLR
Export,EXPORT
Express,EXPRS
Expression,EXPRS
Extend,EXTND
Extended,EXTND
extension,ext
Extensive,EXTNSV
Extent,EXTNT
External,EXTRNL
extnsn,ext
Extra,EXTRA
Extract,EXTRCT
Extrapolate,EXTRAP
Extreme,EXTRM
Eye,EYE
Face,FACE
Facilitate,FAC
Facility,FAC
Facsimile,FAX
Fact,FACT
Factor,FCT
Fail,FAIL
Failed,FAIL
Failure,FAIL
Fair,FAIR
Fake,FAKE
Fall,FALL
False,FALSE
Family,FMLY
Fast,FAST
Fault,FAULT
Favourite,FVRT
Fax,FAX
Faxcom,FAXCOM
Feasibility,FSBLTY
Feasible,FSBL
Feature,FEAT
February,FEB
Federal,FED
Federal Sales Tax,FST
Fee,FEE
Feed,FEED
Feedback,FDBK
Feeder,FEED
Feet,FT
Female,FEMALE
Fiber,FIBR
Fibre,FIBR
Fiche,FICHE
Fiction,FICT
Fictitious,FICT
Field,FLD
Fifth,5TH
Figure,FIG
File,FILE
Filename,FILENM
Fill,FILL
Filler,FILL
Final,FINAL
Finalize,FINAL
Finance,FIN
Financial,FIN
Find,FIND
Finder,FIND
Finish,FNSH
Firmware,FIRMWR
First,FIRST
Fiscal,FISCAL
Fit,FIT
Fitted,FIT
Fix,FIX
Fixed,FIX
Flag,FLG
Flash,FLASH
Flat,FLAT
Flexibility,FLXBL
Flexible,FLXBL
Flipped,FLIP
Float,FLOAT
Floor,FLR
Flow,FLOW
Fluctuate,FLUC
Flush,FLUSH
Folder,FLDR
Follow,FOL
Following,FOL
Foot,FT
Footer,FTR
Footing,FTG
Footnote,FTNOTE
Forbearance,FBRNC
Force,FORC
Forced,FORC
Forecast,FCST
Foreign,FRGN
Foreign Key,FK
Foreman,FMAN
Form,FORM
Formal,FRML
Format,FMT
Formatted,FMT
Former,FORMER
Formula,FRMLA
Fortran,FORTRAN
Forward,FWD
Found,FND
Fraction,FRAC
Fractional,FRAC
Fracture,FRAC
Frame,FRAME
Framework,FRMWK
Fraud,FRAUD
Free,FREE
Freeze,FRZ
Freight,FRGHT
French,FR
Frequence,FREQ
Frequency,FREQ
Frequent,FREQ
Fresh,FRSH
Friday,FRI
Fringe,FRNG
From,FR
Front,FRNT
Froze,FRZ
Frozen,FRZN
Fuel,FUEL
Fulfillment,FULFILMT
Full,FULL
Fully,FULL
Function,FUNC
Functional,FUNC
Fund,FUND
Fundamental,FUND
Furnish,FURN
Furniture,FURN
Fuse,FUSE
Future,FUT
Gain,GAIN
Gap,GAP
Garnish,GRNSH
Garnishee,GRNSH
Gas,GAS
Gasoline,GAS
Gate,GATE
Gateway,GTWY
Gather,GTHR
Gauge,GAUGE
Gear,GEAR
Gender,GENDER
General,GEN
General Ledger,GL
Generate,GEN
Generated,GEN
Generation,GEN
Generator,GEN
Generic,GENERIC
genesys,gn
Geocode,GEOCD
Geographic,GEOG
Geographical,GEOG
Geography,GEOG
Geological,GEOL
Geology,GEOL
Get,GET
Gift,GIFT
Give,GIVE
Given,GIVE
Global,GLBL
Global Access Tariff,GAT
Gloss,GLOSS
Glossary,GLSRY
GMT,GMT
Go,GO
Goal,GOAL
Going,GO
Good,GOOD
Goods and Services Tax,GST
Goodwill,GOODWILL
Govern,GOV
Governance,GOV
Government,GOVT
Grade,GRD
Grand,GRAND
Granularity,GRNLRTY
Graph,GRPH
Graphic,GRPH
Great,GREAT
Greater,GREAT
Greater Than,GT
Greenwich,GMT
Greenwich Mean Time,GMT
Gregorian,GREG
Grid,GRID
Grief,GRIEF
Grievance,GRIEV
Grieve,GRIEV
Gross,GROSS
Ground,GRND
Group,GRP
Grouping,GRPG
Grow,GROW
Growth,GRWTH
GST,GST
Guarantee,GUAR
Guard,GUARD
Guest,GUEST
Guide,GUID
Guideline,GUIDLN
Half,HALF
Hand,HAND
Handbook,HNDBK
Handicap,HNDCP
Handicapped,HNDCPD
Handle,HNDL
Handled,HNDL
Handler,HNDLR
Handwritten,HNDWRTN
Hard,HARD
Hardcopy,HRDCPY
Hardware,HW
Hardwire,HRDWIR
Harmony,HRMNY
Hash,HASH
Head,HD
Headcount,HDCNT
Header,HDR
Heading,HDG
Headline,HDLN
Headquarter,HQ
Headquarters,HQ
Health,HLTH
Height,HGHT
Held,HELD
Help,HELP
Hemisphere,HEMIS
Hierarchical,HIER
Hierarchy,HIER
High,HIGH
Highway,HWY
Hire,HIRE
Hired,HIRE
Historical,HIST
History,HIST
Hold,HOLD
Holder,HOLD
Holding,HOLD
Holiday,HLDY
Home,HM
Homepage,HMPG
Honour,HON
Horizon,HORIZ
Horizontal,HORIZ
Hospital,HOSP
Host,HOST
Hosted,HOSTD
Hosting,HOSTG
Hot,HOT
Hotel,HOTEL
Hour,HR
Hours,HR
House,HSE
Housekeep,HSEKP
Housekeeping,HSEKPG
Hub,HUB
Human,HUMAN
Human Resource,HR
Human Resources,HR
Hundredth,100TH
Hunt,HUNT
Hunting,HUNT
Hydro,HYDRO
Id,ID
Ideal,IDEAL
Identification,ID
Identified,ID
Identifier,ID
Identify,ID
Identifying,ID
Identity,IDNTY
Illegal,ILLGL
Illuminate,ILLUM
Illuminated,ILLUM
Illumination,ILLUM
Image,IMG
Immediate,IMMED
Impact,IMPCT
Implement,IMPLMT
Implementation,IMPLMTN
Implied,IMPLIED
Import,IMPORT
Importance,IMPRTNC
Important,IMPRTNT
Improve,IMPRV
Impulse,IMPLS
In,IN
Inactive,INACTV
inbnd,ib
inbound,ib
Incentive,INCNTV
Inch,INCH
Incident,INCDNT
Include,INCL
Inclusion,INCL
Inclusions,INCL
Income,INCM
Incoming,INCMG
Incomplete,INCOMPL
Inconsistent,INCONSIS
Incorporate,INC
Incorporated,INC
Incorrect,INCORR
Increase,INCRS
Increment,INCREM
Incremental,INCREML
Incumbent Local Exchange Carrier,ILEC
Incur,INCUR
Indemnity,INDEM
Indent,INDT
Independent,INDPNDT
Index,INDX
Indicate,IND
Indicative,IND
indicator,IND
Indirect,INDIR
Individual,INDVDL
Individual Line Service,ILS
Indoor,INDOOR
Induct,INDUCT
Industrial,INDUST
Industry,INDUST
Ineffective,INEFF
Ineligibility,INELIG
Ineligible,INELIG
Inet,INET
Inflate,INFLAT
Inflation,INFLAT
Inform,INFRM
Informal,INFRML
Information,INFO
Infranet,INFRA
Infrastructure,INFSTR
Inhibit,INHIB
Initial,INIT
Initialization,INIT
Initialize,INIT
Initials,INIT
Initiate,INIT
Initiated,INIT
Initiation,INIT
Initiative,INIT
Initiator,INIT
Inject,INJECT
Injury,INJURY
Ink,INK
Inline,INLINE
Input,INPUT
Inquire,INQR
Inquiry,INQRY
Insert,INSRT
